,City,Cloudiness (%),Country code,Date,Humidity (%),Latitude,Longitude,Maximum Temperature (F),Wind Speed (miles/hr)
0,Arraial do Cabo,0,BR,1531722829,94,-22.97,-42.02,69.8,15.59
1,Palmer,20,AU,1531720800,55,-34.85,139.16,60.8,16.11
2,Saskylakh,88,RU,1531722832,63,71.97,114.09,58.01,21.85
3,Pevek,64,RU,1531722833,82,69.7,170.27,44.69,3.62
4,Vaini,92,IN,1531722834,99,15.34,74.49,71.15,11.23
5,Kenora,40,CA,1531721700,55,49.76,-94.48,66.2,10.29
6,Ribeira Grande,40,PT,1531720800,72,38.52,-28.7,66.2,9.17
7,Busselton,92,AU,1531722836,100,-33.64,115.35,62.42,31.59
8,Severo-Kurilsk,92,RU,1531722837,86,50.68,156.12,53.24,2.73
9,Banbury,0,GB,1531722000,72,52.06,-1.34,66.2,4.7
10,Rikitea,92,PF,1531722839,100,-23.12,-134.97,68.54,12.68
11,Barrow,0,AR,1531722840,86,-38.31,-60.23,32.0,2.73
12,Ballina,75,IE,1531720800,93,54.11,-9.15,53.6,3.36
13,Mataura,48,NZ,1531722842,94,-46.19,168.86,44.96,4.41
14,Geraldton,5,CA,1531720800,77,49.72,-86.95,64.4,10.29
15,Vangaindrano,0,MG,1531722844,83,-23.35,47.6,64.49,3.18
16,Hambantota,64,LK,1531722844,100,6.12,81.12,79.97,15.03
17,Leningradskiy,32,RU,1531722845,94,69.38,178.42,34.61,15.26
18,New Norfolk,40,AU,1531720800,62,-42.78,147.06,53.6,11.41
19,Tuktoyaktuk,75,CA,1531717200,87,69.44,-133.03,59.0,8.05
20,Sao Filipe,64,CV,1531722847,100,14.9,-24.5,75.11,8.77
21,Loandjili,90,CG,1531720800,88,-4.77,11.87,71.6,3.36
22,Esperance,20,TT,1531720800,94,10.24,-61.45,77.0,3.36
23,Djambala,36,CG,1531722851,92,-2.55,14.76,68.09,4.18
24,Hithadhoo,92,MV,1531722852,100,-0.6,73.08,77.27,1.72
25,Kant,12,KG,1531722852,52,42.89,74.85,67.91,2.17
26,Sambava,0,MG,1531722853,100,-14.27,50.17,73.94,14.81
27,Castro,24,CL,1531722854,100,-42.48,-73.76,38.57,3.96
28,Georgetown,0,GY,1531720800,100,6.8,-58.16,73.4,4.7
29,Isangel,32,VU,1531722857,100,-19.55,169.27,73.4,15.82
30,Tigzirt,36,DZ,1531722857,75,36.57,4.2,73.67,1.61
31,Mukdahan,75,TH,1531717200,83,16.54,104.73,77.0,4.7
32,Ushuaia,20,AR,1531720800,79,-54.81,-68.31,28.4,5.82
33,Codrington,0,AU,1531722860,50,-28.95,153.24,60.53,8.21
34,Kapaa,90,US,1531720560,78,22.08,-159.32,80.6,11.41
35,Mehamn,75,NO,1531720200,93,71.03,27.85,50.0,11.41
36,Marawi,100,PH,1531722862,93,8.0,124.29,72.32,4.74
37,Asuncion,75,PY,1531720800,69,-25.3,-57.63,73.4,8.99
38,Moche,90,PE,1531720800,82,-8.17,-79.01,64.4,3.36
39,Kaitangata,76,NZ,1531722864,88,-46.28,169.85,47.84,7.2
40,Zyryanka,92,RU,1531722865,77,65.73,150.89,60.89,4.41
41,Guanare,8,VE,1531722869,89,9.04,-69.74,68.45,2.95
42,Port-Gentil,40,GA,1531720800,88,-0.72,8.78,75.2,9.17
43,Touros,12,BR,1531722871,86,-5.2,-35.46,75.2,15.03
44,Bollnas,12,SE,1531722871,68,61.35,16.39,70.7,3.18
45,Kungurtug,88,RU,1531722872,78,50.6,97.53,58.1,3.62
46,Goba,24,ET,1531722874,90,7.01,39.97,59.45,4.07
47,Ntoum,75,GA,1531720800,83,0.39,9.76,75.2,13.87
48,Hofn,92,IS,1531722875,99,64.25,-15.21,48.74,6.76
49,Ponta do Sol,0,BR,1531722876,80,-20.63,-46.0,51.44,3.51
50,Avarua,75,CK,1531720800,64,-21.21,-159.78,71.6,10.29
51,Pangnirtung,92,CA,1531722878,99,66.15,-65.72,39.74,6.2
52,Albany,20,US,1531720440,88,42.65,-73.75,73.4,2.17
53,Bluff,0,AU,1531722879,31,-23.58,149.07,74.39,4.52
54,Bambous Virieux,75,MU,1531720800,73,-20.34,57.76,75.2,5.82
55,Yinchuan,0,CN,1531722882,42,38.48,106.21,89.51,4.97
56,Nagato,20,JP,1531720800,84,34.35,131.14,86.0,8.05
57,San Francisco,20,US,1531720800,87,37.78,-122.42,62.6,12.75
58,Port Alfred,0,ZA,1531722886,100,-33.59,26.89,55.49,11.01
59,Tanete,80,ID,1531722888,75,-3.94,119.78,81.05,10.78
60,Wamba,92,CD,1531722889,100,2.14,27.99,66.02,2.73
61,Leh,24,IN,1531722755,66,34.16,77.58,46.67,1.39
62,Formosa do Rio Preto,44,BR,1531722890,79,-11.04,-45.19,62.06,4.18
63,Mirnyy,64,RU,1531722891,75,56.57,36.46,75.29,9.78
64,Yumen,12,CN,1531722892,32,40.29,97.04,86.09,4.63
65,Cape Town,0,ZA,1531720800,86,-33.93,18.42,37.4,2.24
66,Nouadhibou,0,MR,1531720800,73,20.93,-17.03,69.8,23.04
67,Basoko,56,CD,1531722895,91,1.23,23.61,73.49,4.18
68,Alice Springs,0,AU,1531720800,14,-23.7,133.88,75.2,4.7
69,Atuona,24,PF,1531722896,100,-9.8,-139.03,78.35,16.49
70,Changli,44,CN,1531722897,76,30.54,105.42,90.23,7.2
71,Turayf,0,SA,1531720800,37,31.68,38.65,82.4,11.41
72,Coolum Beach,0,AU,1531722900,85,-26.53,153.09,64.67,4.18
73,Road Town,1,VG,1531720380,83,18.42,-64.62,80.6,8.05
74,Darhan,80,MN,1531722901,82,49.49,105.92,69.26,4.18
75,Kruisfontein,0,ZA,1531722902,97,-34.0,24.73,51.8,13.02
76,Marystown,92,CA,1531722903,96,47.17,-55.16,55.49,3.18
77,Camacha,75,PT,1531720800,77,33.08,-16.33,69.8,9.17
78,Torbay,90,CA,1531720800,100,47.66,-52.73,64.4,13.87
79,Hilo,75,US,1531721160,78,19.71,-155.08,78.8,14.14
80,East London,0,ZA,1531720800,76,-33.02,27.91,48.2,5.82
81,Athmallik,100,IN,1531722907,99,20.72,84.53,75.92,12.24
82,Kunigal,75,IN,1531720800,78,13.02,77.02,75.2,13.87
83,Tiksi,44,RU,1531722909,58,71.64,128.87,52.79,9.66
84,Khatanga,20,RU,1531722910,72,71.98,102.47,59.72,15.82
