starttime,2015,2016,2017
0,33410,43315,50510
1,18479,23375,27863
2,10774,14100,15591
3,6727,9029,9548
4,5868,8152,9183
5,17092,24889,31965
6,68164,96150,115333
7,136669,196618,225347
8,242222,341278,384214
9,198785,275699,314333
10,135537,193836,229418
11,144455,201986,247343
12,166023,226141,280487
13,172327,238728,290246
14,175756,245316,297227
15,187001,253956,315601
16,220945,298613,371436
17,314590,427916,519198
18,312445,422843,509670
19,230819,311208,374758
20,158236,213880,260921
21,108836,147925,178530
22,83792,108581,136835
23,56987,74557,88134
