starttime,2015,2016,2017
0,16855,18685,19257
1,9951,10655,10404
2,5742,6197,6037
3,3722,3757,3832
4,3804,3973,4419
5,11888,15959,18312
6,43697,55938,60412
7,92215,120623,128523
8,170038,216048,227710
9,132168,162887,175012
10,85898,107646,113857
11,88110,108431,114339
12,101389,125426,130701
13,107350,133185,136035
14,113250,140625,140941
15,116889,146819,147474
16,132136,165890,171175
17,174219,220058,233591
18,164362,199445,216832
19,110484,134546,144739
20,72946,90456,96857
21,51665,63705,67957
22,39278,48270,50876
23,26421,31291,32783
