,startstationid,startstationname,startstationlongitude,startstationlatitude,count
0,519,Pershing Square North,-73.97770600000001,40.751872999999996,104813
1,293,Lafayette St & E 8 St,-73.9907647,40.73028666,95890
2,435,W 21 St & 6 Ave,-73.99415556,40.74173969,87149
3,497,E 17 St & Broadway,-73.99009296,40.73704984,86108
4,521,8 Ave & W 31 St,-73.99444207549095,40.750967348715974,80736
5,426,West St & Chambers St,-74.01322069,40.71754834,79061
6,285,Broadway & E 14 St,-73.99074142,40.73454567,73682
7,402,Broadway & E 22 St,-73.98955109,40.740343200000005,67497
8,327,Vesey Pl & River Terrace,-74.01658354,40.715337899999994,65630
9,368,Carmine St & 6 Ave,-74.00214988,40.73038599,65614
