,startstationid,startstationname,startstationlongitude,startstationlatitude,startcount,startnumber
0,519,Pershing Square North,-73.97770600000001,40.751872999999996,162716,1
1,497,E 17 St & Broadway,-73.99009296,40.73704984,112218,2
2,402,Broadway & E 22 St,-73.98955109,40.740343200000005,108590,3
3,435,W 21 St & 6 Ave,-73.99415556,40.74173969,107133,4
4,426,West St & Chambers St,-74.01322069,40.71754834,105610,5
5,3255,8 Ave & W 31 St,-73.9946848154068,40.7505853470215,97083,6
6,490,8 Ave & W 33 St,-73.993934,40.751551,94872,7
7,459,W 20 St & 11 Ave,-74.007756,40.746745000000004,90718,8
8,514,12 Ave & W 40 St,-74.00277668,40.76087502,86833,9
9,477,W 41 St & 8 Ave,-73.9900262,40.75640548,85082,10
