,endstationid,endstationname,endstationlongitude,endstationlatitude,endcount,endnumber
0,519,Pershing Square North,-73.97770600000001,40.751872999999996,147060,1
1,402,Broadway & E 22 St,-73.98955109,40.740343200000005,104889,2
2,426,West St & Chambers St,-74.01322069,40.71754834,103065,3
3,497,E 17 St & Broadway,-73.99009296,40.73704984,102345,4
4,435,W 21 St & 6 Ave,-73.99415556,40.74173969,101785,5
5,285,Broadway & E 14 St,-73.99074142,40.73454567,85890,6
6,490,8 Ave & W 33 St,-73.993934,40.751551,84773,7
7,284,Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,83581,8
8,459,W 20 St & 11 Ave,-74.007756,40.746745000000004,83029,9
9,477,W 41 St & 8 Ave,-73.9900262,40.75640548,82848,10
