,startstationid,startstationname,startstationlongitude,startstationlatitude,startcount,startnumber
0,3631,Crown St & Bedford Ave,-73.95674100000001,40.666563000000004,1,1
1,3633,333 Johnson TEST 1,0.0,0.0,1,2
2,3036,8D OPS 01,-74.0313720703125,40.517975200388506,1,3
3,3543,Morningside Dr & Amsterdam Ave,-73.95736455917357,40.81028506306003,1,4
4,3470,Expansion Tech Station,-73.994904756546,40.669801930896156,2,5
5,3248,LPI Facility,0.0,0.0,2,6
6,3446,NYCBS Depot - STY - Valet Scan,0.0,0.0,2,7
7,3245,NYCBS DEPOT - DELANCEY,-73.9823305606842,40.71644423134479,4,8
8,3098,Leonard St & Bayard St,-73.94861,40.71928,4,9
9,3017,NYCBS Depot - FAR,-73.996764,40.751483,5,10
