,endstationid,endstationname,endstationlongitude,endstationlatitude,endcount,endnumber
0,3212,Christ Hospital,-74.050443636,40.734785818,1,1
1,3184,Paulus Hook,-74.0335519,40.7141454,1,2
2,3211,Newark Ave,-74.046304543,40.72152515,2,3
3,3187,Warren St,-74.03805095,40.721123600000006,3,4
4,3183,Exchange Place,-74.0334588,40.7162469,3,5
5,3039,NYCBS Depot - DYR,-73.99375051281822,40.75908809071208,3,6
6,3214,Essex Light Rail,-74.03648570000001,40.712774200000005,4,7
7,3241,Monroe St & Tompkins Ave,-73.944694,40.686203000000006,9,8
8,3219,NYCBS Depot - STY,-73.97665500000001,40.729193,14,9
9,3242,Schermerhorn St & Court St,-73.99183362722397,40.69102925677968,23,10
