age,2015,2016,2017
<10,,,
10-20,792.0702829997158,900.6818698842474,1575.3631478819036
20-30,781.880085184479,825.0294296465626,1121.4097832258815
30-40,792.1332939790198,827.6272160907165,938.5503055807372
40-50,798.1369827014292,837.2733263797359,867.3543923069153
50-60,845.6004078698338,852.070263526064,866.1923469089421
60-70,872.7635682219016,866.0805639901034,884.96159154979
70-80,822.3091978234158,789.4607873054623,850.7373147732376
80-90,650.1570247933885,824.5372492836676,1208.6877607788595
>90,1105.929158110883,957.4832535885167,942.2906474820144
